AC/S,"Assistant Chief of Staff, Command, Control, Communications, Computers, and Intelligence  "
C4I,"Assistant Chief of Staff, Command, Control, Communications, Computers, and Intelligence  "
ACT,activity 
ACT,advance civilian team
ACT,Allied Command Transformation
ACU,assault craft unit
ACV,aircraft cockpit video
ACV,armored combat vehicle
ACW,advanced conventional weapons
A/D,analog-to-digital
AD,active duty
AD,advanced deployability
AD,air defense
AD,area denial
AD,automatic distribution
AD,priority add-on
ADA,aerial damage assessment
ADA,air defense artillery
ADA,Antideficiency Act
A/DACG,arrival/departure airfield control group
ADAFCO,air defense artillery fire control officer
ADAL,authorized dental allowance list
ADAM,air defense airspace management
ADAM/BAE,air defense airspace management/brigade aviation element Allied Deployment and Movement System
ADAMS,Air Mobility Command Deployment Analysis System
ADC,air defense commander
ADC,area damage control
ADCAP,advanced capability
A/DCG,arrival/departure control group 
ADCI/MS,Associate Director of Central Intelligence for Military Support 
ADCON,administrative control
ADD,assign on-line diagnostic
ADDO,Assistant Deputy Director for Operations
ADDO(MS),Assistant Deputy Director for Operations/Military Support 
ADE,airdrop damage estimate
ADE,assign digit editing
ADF,automatic direction finding
ADIZ,air defense identification zone
ADKC/RCU,Automatic Key Distribution Center/Rekeying Control
ADL,Unit advanced distributed learning
ADM,assign XX (SL) routing
ADMIN,air defense measure administration
AND,Allied Command Europe desired ground zero number
ADNET, anti-drug network
ADOC,air defense operations center
ADP,air defense plan
ADP,Army doctrine publication
ADP,automated data processing 
ADPE,automated data processing equipment
ADPS,automatic data processing system
ADR,accident data recorder
ADR,airfield damage repair 
ADR,aircraft damage repair
ADRA,Adventist Development and Relief Agency
ADRP,Army doctrine reference publication
ADS,air defense section
ADS,air defense sector
ADS,amphibian discharge site
ADS,authoritative data source
ADSIA,Allied Data Systems Interoperability Agency
ADSW,active duty for special work
ADT,active duty for training
ADT,assign digital transmission group
ADT,automatic digital tester
ADUSD(TP),"Assistant Deputy Under Secretary of Defense, Transportation Policy "
ADVON,advanced echelon
ADW,air defense warnings
ADWC,air defense warning condition
ADZ,amphibious defense zone
A/E,ammunition/explosives
AE,aeromedical evacuation
AE,assault echelon
AE,attenuation equalizer 
AEC,aeromedical evacuation crew
AECA,Arms Export Control Act
AECM,aeromedical evacuation crew member
AECS,aeromedical evacuation command squadron
AECT,aeromedical evacuation control team
AEF,air expeditionary force 
AEG,air expeditionary group
AEHF,advanced extremely high frequency
AELT,aeromedical evacuation liaison team
AEOS,aeromedical evacuation operations squadron
AEOT,aeromedical evacuation operations team
AEPS,aircrew escape propulsion system
AEPST,aeromedical evacuation plans and strategy team
AES,aeromedical evacuation squadron
AESC,aeromedical evacuation support cell
AEU,assign essential user bypass
AEW,airborne early warning
AF,Air Force
AF,Air Force (form)
AF,amphibious force
AF/A2,"Air Force Director of Intelligence, Surveillance, and Reconnaissance "
AFAARS,Air Force After Action Reporting System
AFAPD,Air Force Applications Program Development
AFARN,Air Force air request net
AFATDS,Advanced Field Artillery Tactical Data System
AFB,Air Force Base
AFC,automatic frequency control
AFC,area frequency coordinator
AFCA,Air Force Communications Agency
AFCAP,Air Force contract augmentation program
AFCAP,Armed Forces contract augmentation program
AFCB,Armed Forces Chaplains Board
AFCC,Air Force Component Commander
AFCCC,Air Force Combat Climatology Center
AFCEC,Air Force Civil Engineer Center 
AFCEE,Air Force Center for Engineering and the Environment
AFCERT,Air Force computer emergency response team
AFCESA,Air Force Civil Engineering Support Agency
AFD,assign fixed directory 
AFDA,Air Force doctrine annex
AFDC,Air Force Doctrine Center
AFDD,Air Force doctrine document
AFDIGS,Air Force digital graphics system
AFDIL,Armed Forces DNA Identification Laboratory
AFDIS,Air Force Weather Agency Dial In Subsystem
AF/DP,Deputy Chief of Staff for Personnel
AFE,United States Air Force Armed Forces Entertainment
AFEES,Armed Forces Examining and Entrance Station
AFFIS,Air Facilities File Information System
AFFMA,Air Force Frequency Management Agency 
AFFOR,Air Force forces
AFH,Air Force handbook
AFHSC,Armed Forces Health Surveillance Center
AFGSC,Air Force Global Strike Command
AFI,Air Force instruction
AFIAA,Air Force Intelligence Analysis Agency
AFICA,Air Force Installation Contracting Agency
AFICC,Air Force Installation Contracting Center
AFID,anti-fratricide identification device
AF/IL,"Deputy Chief of Staff for Installations and Logistics, USAF"
AFIP,Armed Forces Institute of Pathology
AFIRB,Armed Forces Identification Review Board
AFIS,American Forces Information Service
AFISRA,"Air Force Intelligence, Surveillance, and Reconnaissance Agency "
AFIWC,Air Force Information Warfare Center
AFJI,Air Force joint instruction
AFJMAN,Air Force Joint Manual
AFLC,Air Force Logistics Command
AFLE,Air Force liaison element
AFLNO,Air Force liaison officer
AFMAN,Air Force manual
AFMC,Air Force Materiel Command
AFMD,Air Force Mission Directive
AFME,Armed Forces Medical Examiner
AFMES,Armed Forces Medical Examiner System
AFMIC,Armed Forces Medical Intelligence Center
AFMLO,Air Force Medical Logistics Office
AFMS,Air Force Medical Service
AFNWC,Air Force Nuclear Weapons Center
AFNORTH,Air Force North
AFNORTH,Allied Forces Northern Europe    
AFNORTHWEST,Allied Forces North West Europe   
AFNSEP,Air Force National Security and Emergency Preparedness Agency 
AFO,advance force operations
AFOA,Air Force Operations Activity
AFOE,assault follow-on echelon
AFOSI,Air Force Office of Special Investigations
AFPAM,Air Force pamphlet
AFPC,Air Force Personnel Center
AFPD,Air Force policy directive
AFPEO,Armed Forces Professional Entertainment Overseas
AFR,Air Force Reserve
AFR,assign frequency for network reporting
AFRAT,Air Force Radiation Assessment Team
AFRC,Air Force Reserve Command
AFRC,Armed Forces Recreation Center 
AFRCC,Air Force Rescue Coordination Center
AFRL,Air Force Research Laboratory
AFRRI,Armed Forces Radiobiology Research Institute 
AFRTS,American Forces Radio and Television Service
AFS,aeronautical fixed service
AFSATCOM,Air Force satellite communications (system)
AFSB,afloat forward staging base
AFSB,Army field support brigade
AFSC,Armed Forces Staff College
AFSC,Army Field Support Center
AFSC,United States Air Force specialty code
AFSC,Air Force Sustainment Center
AFSCN,Air Force Satellite Control Network
AFSMO,Air Force Spectrum Management Office
AFSOAC,Air Force special operations air component
AFSOAD,Air Force special operations air detachment
AFSOAE,Air Force special operations air element
AFSOC,Air Force Special Operations Command
AFSOCC,Air Force special operations control center
AFSOF,Air Force special operations forces 
AFSOUTH,"Allied Forces, South   "
AFSPACE,United States Space Command Air Force
AFSPC,Air Force Space Command
AFSPOC,Air Force Space Operations Center
AFSTRAT,Air Forces Strategic
AFTAC,Air Force Technical Applications Center
AFTOC,Air Force Total Owenership Cost
AFTH,Air Force Theater Hospital
AFTN,Aeronautical Fixed Telecommunications Network
AFTO,Air Force technical order
AFTRANS,Air Force Transportation Component
AFTTP,"Air Force tactics, techniques, and procedures"
AFTTP,Air Force technical training publication 
AFTTP(I),"Air Force tactics, techniques, and procedures (instruction) Air Force Weather"
AFW,Air Force Weather Agency
AFWCF,Air Force working capital fund
AFWIN,Air Force Weather Information Network
AF/XO,"Deputy Chief of Staff for Plans and Operations, United States Air Force "
AF/XOI,"Air Force Director of Intelligence, Surveillance, and Reconnaissance "
AF/XOO,"Director of Operations, United States Air Force"
A/G,air to ground
AG,adjutant general
AGARD,Advisory Group for Aerospace Research and Development
AGE,aerospace ground equipment
AGIL,airborne general illumination lightself
AGL,above ground level
AGM-28A,Hound Dog
AGM-65,Maverick
AGM-69,short range attack missile
AGR,Active Guard and Reserve 
AGS,aviation ground support
AH,attack helicopter
AHA,alert holding area
AHD,antihandling device
AI,acquisition instruction
AI,airborne interceptor
AI,air interdiction
AI,area of interest
AIA,Air Intelligence Agency
AIASA,annual integrated assessment for security assistance air intercept controller
AIC,assign individual compressed dial 
AIC,Atlantic Intelligence Command
AICF/USA,Action Internationale Contre La Faim (International Action Against Hunger) 
AIDS,acquired immunodeficiency syndrome
AIF,automated installation intelligence file
AIFA,AAFES Imprest Fund Activity
AIG,addressee indicator group
AIIRS,automated intelligence information reporting system
AIM,Airman’s Information Manual
AIM-7,Sparrow
AIM-9,Sidewinder
AIM-54A,Phoenix
AIMD,aircraft intermediate maintenance department
AIMT,air interdiction of maritime targets
AIP,aeronautical information publication
AIQC,antiterrorism instructor qualification course
AIRBAT,"Airborne Intelligence, Surveillance, and Reconnaissance Requirements-Based Allocation Tool "
AIRCENT,Allied Air Forces Central Europe   
AIRCOR,air corridor
AIRES,advanced imagery requirements exploitation system
AIREVACCONFIRM,air evacuation confirmation
AIREVACREQ,air evacuation request
AIREVACRESP,air evacuation response
AIRNORTHWEST,Allied Air Forces North West Europe   
AIRREQRECON,air request reconnaissance
AIRSOUTH,Allied Air Forces Southern Europe   
AIRSUPREQ,air support request
AIS,automated information system
AIT,aeromedical isolation team
AIT,automatic identification technology
AIT,automated information technology
AJ,anti-jam
AJBPO,area joint blood program office 
AJCC,alternate joint communications
AJ/CM,center anti-jam control modem
AJD,allied joint doctrine 
AJF,allied joint force
AJFP,adaptive joint force packaging
AJMRO,area joint medical regulating office
AJNPE,airborne joint nuclear planning element
AJODWG,allied joint operations doctrine working group
AJP,allied joint publication
AK,commercial cargo ship
AKNLDG,acknowledge message
ALARA,as low as reasonably achievable
ALCC,airlift control center
ALCE,airlift control element
ALCF,airlift control flight
ALCG,analog line conditioning group
ALCM,air-launched cruise missile
ALCOM,United States Alaskan Command
ALCON,all concerned
ALCS,airlift control squadron
ALCT,airlift control team
ALD,airborne laser designator
ALD,available-to-load date
ALE,airlift liaison element
ALEP,amphibious lift enhancement program
ALERFA,alert phase  
ALERT,attack and launch early reporting to theater
ALERTORD,alert order
ALLOREQ,air allocation request
ALLOREQ,allocation request
ALLTV,all light level television
ALMSNSCD,airlift mission schedule
SLN,ammunition lot number
ALNOT,alert notice
ALO,air liaison officer
ALOC,air line of communications
ALORD,alert launch order
ALP,allied logistic publication
ALSA,Air Land Sea Application (Center)
ALSE,aviation life support equipment
ALSS,advanced logistic support site
ALT,"acquisition, logistics, and technology"
ALTD,airborne laser target designator
ALTRV,altitude reservation
ALTTSC,alternate Tomahawk strike coordinator
A/M,approach and moor
AM,amplitude modulation
AMAL,authorized medical allowance list
AMB,air mobility branch
AMB,ambassador
AMBUS,ambulance bus
AMC,airborne mission coordinator
AMC,Air Mobility Command
AMC,Army Materiel Command: midpoint compromise search area 
AMCC,allied movement coordination center
AMCC,alternate military command center 
AMCIT,American citizen
AMCM,airborne mine countermeasures
AMC/SGXM,Air Mobility Command/Command Surgeon’s Office
AMCT,air mobility control team
AMD,air and missile defense
AMD,air mobility division
AMDC,air and missile defense commander
AME,antenna mounted electronics
AMEDD,Army Medical Department
AMEDDCS,U.S. Army Medical Department Center and School
AMedP,allied medical publication
AMEMB,American Embassy
AMETL,agency mission-essential task list
AMF(L),ACE Mobile Force
AMH,automated message handler
AMHS,automated message handling system
AMIO,alien migrant interdiction operations
AMLO,air mobility liaison officer
AMMO,ammunition
AMOC,Air and Marine Operations Center
AMOG,air mobility operations control center
AMOPES,air mobility operations group
AMOPES,Army Mobilization and Operations Planning and Execution System 
AMOPES,Army mobilization and operations planning system
AMOPS,Army mobilization operations system
AMOS,air mobility operations squadron
AMOSS,Air and Marine Operations Surveillance System
AMOW,air mobility operations wing
AMP,amplifier
AMP,analysis of mobility platform
AMPE,automated message processing exchange
AMPN,amplification
AMP-PAT,analysis of mobility platform suite of port analysis tools
AMPSSO,mobilization operations system (or Officer)
AMRAAM,advanced medium-range air-to-air missile
AMS,Aerial Measuring System
AMS,air mobility squadron
AMS,Army management structure
AMS,Asset Management System
AMSS,air mobility support squadron
AMS-TAC,Automated Manifesting System--Tactical
AMT,aerial mail terminal
amu,atomic mass unit
AMVER,automated mutual-assistance vessel rescue system 
AMW ,air mobility wing
AMW ,amphibious warfare 
AMX,air mobility express 
AN,alphanumeric
AN,analog nonsecure 
ANCA,Allied Naval Communications Agency
ANDVT,advanced narrowband digital voice terminal
ANG,Air National Guard
ANGLICO,air-naval gunfire liaison company
ANGUS,Air National Guard of the United States
A/NM,administrative/network management
ANMCC,Alternate National Military Command Center
ANN,assign NNX routing
ANR,Alaskan North American Aerospace Defense Command Region
ANSI,American National Standards Institute 
ANX,assign NNXX routing 
ANY,assign NYX routing 
ANZUS,Australia-New Zealand-United States Treaty
AO,action officer
AO,administration officer
AO,air officer
AO,area of operations
AO,aviation ordnance person
AO&M,"administration, operation, and maintenance "
 AOA,amphibious objective area 
AOB,aviation operations branch 
AOC ,air operations center
AOC ,Army operations center 
AOCC,air operations control center
AOC-E,Aviation Operations Center-East   
AOCU,analog orderwire control unit
AOC-W,Aviation Operations Center-West   
AOD,air operations directive
AOD,on-line diagnostic
AODB, air operations database 
AOF,azimuth of fire 
AOG, Army Operations Group 
AOI,area of interest
AOP,air operations plan
AOP,area of probability 
AOR, area of responsibility 
AOS,aircraft on station 
AOSS,aviation ordnance safety supervisor
AOTR,Aviation Operational Threat Response
AP,allied publication
AP,antipersonnel
AP,average power
APA,Army pre-positioned afloat
APAN,All Partners Access Network
APAN,Asia-Pacific Area Network
APC,aerial port commander
APC,assign preprogrammed conference list
APCC,alternate processing and correlation center 
APE,airfield pavement evaluation
APES,Automated Patient Evacuation System 
APEX,Adaptive Planning and Execution
APF,afloat pre-positioning force
APG,aimpoint graphic
APHIS,Animal and Plant Health Inspection Service allied press information center 
APIC,antipersonnel land mine
APL,afloat pre-positioning operations
APO,Air Force post office
APO,Army post office
APO,Accountable Property Officer
APOD,aerial port of debarkation
APOE,aerial port of embarkation
APORT,aerial port
APORTSREP,air operations bases report
APP,allied procedural publication
APPS,analytical photogrammetric positioning system
APR,assign primary zone routing
APS,Army pre-positioned stocks
APSR,Accountable Property Systems of Record 
APS-3,afloat pre-positioning stocks
APS-3,Army pre-positioned stocks-3 
APTD,aircraft position target designation
APU,auxiliary power unit
AR,air refueling
AR,Army regulation
AR,Army reserve
ARB,alternate recovery base
ARB,assign receive bypass lists
ARBS,angle rate bombing system
ARC,air Reserve Components
ARC,American Red Cross
ARCENT,United States Army Central Command
ARCT,air refueling control team
ARDF,automatic radio direction finding
AREC,air resource element coordinator
ARFOR,Army forces
ARG,Accident Response Group
ARG,amphibious ready group 
ARGO,automatic ranging grid overlay
ARINC,Aeronautical Radio Incorporated
ARL-M,airborne reconnaissance low-multifunction
ARM,air reference measure
ARM,antiradiation missile
ARNG,Army National Guard
ARNGUS,Army National Guard of the United States
ARQ,air refueling point
ARRC,United States Army Reserve Personnel Center
ARP,arrival date
ARQ,automatic request-repeat
ARRC,Allied Command Europe Rapid Reaction Corps arrival date
ARS,acute radiation syndrome
ARS,air rescue service
ARSOA,Army special operations aviation
ARSOF,Army special operations forces
ARSOTF,Army special operations task force 
ARSPACE,Army Space Command
ARSPOC,Army space operations center
ART,air reserve technician
ARTS III,Automated Radar Tracking System
ARTYMET,artillery meteorological
AS,analog secure
A/S,anti-spoofing
ASA,automatic spectrum analyzer
ASA(ALT),"Assistant Secretary of the Army for Acquisition, Logistics, and Technology "
ASAP,as soon as possible
ASARS,Advanced Synthetic Aperture Radar System
ASAS,All Source Analysis System
ASAT,antisatellite weapon
ASB,naval advanced support base
ASBP,Armed Services Blood Program
ASBPO,Armed Services Blood Program Office
ASC,acting service chief
ASC,Aeronautical Systems Center
ASC,Air Systems Command 
ASC,Army Sustainment Command
ASC,Automatic Digital Network switching center 
ASC,assign switch classmark
ASCC,Air Standardization Coordinating Committee
ASCC,Army Service component command
ASCC,Army Service component commander 
ASCIET,all Services combat identification evaluation team 
ASCII,American Standard Code for Information Interchange
ASCOPE,"areas, structures, capabilities, organizations, people, and events "
ASCS,air support control section
ASCS,air support coordination section 
ASD,Assistant Secretary of Defense
ASD(A&L),Assistant Secretary of Defense (Acquisition and Logistics)
ASD(C),Assistant Secretary of Defense (Comptroller)
ASD(C3I),"Assistant Secretary of Defense (Command, Control, Communications, and Intelligence) "
ASD(FM&P),Assistant Secretary of Defense (Force Management and Personnel) 
ASD(FMP),Assistant Secretary of Defense (Force Management Policy)
ASD(GSA),Assistant Secretary of Defense for Global Strategic Affairs 
ASD(HA),Assistant Secretary of Defense (Health Affairs)
ASD(HD),Assistant Secretary of Defense (Homeland Defense) 
ASD(HD&ASA),Assistant Secretary of Defense (Homeland Defense and Americas’ Security Affairs) 
ASDI,analog simple data interface
ASDIA,All-Source Document Index
ASD(ISA),Assistant Secretary of Defense (International Security Affairs) 
ASD(ISP),Assistant Secretary of Defense (International Security Policy) 
ASD(LA),Assistant Secretary of Defense (Legislative Affairs)
ASD(L&MR),Assistant Secretary of Defense for Logistics and Materiel Readiness 
ASD(NII),Assistant Secretary of Defense (Networks and Information Integration) 
ASD(OEPP),Assistant Secretary of Defense for Operational Energy Plans and Programs 
ASD(P&L),Assistant Secretary of Defense (Production and Logistics) 
ASD(PA),Assistant Secretary of Defense (Public Affairs)
ASD(PA&E),Assistant Secretary of Defense (Program Analysis and Evaluation)
ASD(RA),Assistant Secretary of Defense (Reserve Affairs)
ASD(RSA),Assistant Secretary of Defense (Regional Security Affairs) 
ASD(S&R),Assistant Secretary of Defense (Strategy and Requirements) 
ASD(SO/LIC&IC),Assistant Secretary of Defense for Special Operations and Low-Intensity Conflict and Low-Intensity Conflict and Interdependent Capabilities 
ASE,aircraft survivability equipment
ASE,automated stabilization equipment 
ASF,aeromedical staging facility
ASG,Allied System for Geospatial Intelligence 
ASG,area support group
ASH,Assistant Administrator for Security and Hazardous Materials 
ASH,Assistant Secretary for Health
ASI,assign and display switch initialization
ASIC,Air and Space Interoperability Council
ASIF,Airlift Support Industrial Fund 
ASL,allowable supply list
ASL,archipelagic sea lane
ASL,authorized stockage list
ASL,assign switch locator (SL) routing
ASLT,air support liaison team
ASLT,assault support landing table
ASM,air-to-surface missile
ASM,armored scout mission
ASM,Army Spectrum Manager
ASM,automated scheduling message
ASMD,antiship missile defense
ASMO,Army Spectrum Management Office
ASN(RD&A),"Assistant Secretary of the Navy for Research, Development and Acquisition"
ASO,advanced special operations
ASO,air support operations 
ASOC,air support operations center
ASOFDTG,as of date/time group 
ASP,ammunition supply point
ASPA,American Service-Members’ Protection Act
A-Space,Analytic Space
ASPP,acquisition systems protection program
ASPPO,Armed Service Production Planning Office
ASPR,Office of Assistant Secretary for Preparedness and Response   
ASR,air support request
ASR,available supply rate 
ASSETREP,transportation assets report
AST,assign secondary traffic channels
ASTS,aeromedical staging squadron
ASW,antisubmarine warfare
ASW,average surface wind
ASWBPL,Armed Services Whole Blood Processing Laboratories
ASWC,antisubmarine warfare commander
AT,antitank
AT,antiterrorism
At,total attainable search area
ATA,Airlift Tanker Association
ATA,antiterrorism assistance
ATAC,antiterrorism alert center
ATACC,advanced tactical air command center
ATACMS,Army Tactical Missile System
ATACO,air tactical actions control officer
ATACS,Army Tactical Communications System
ATAF,Allied Tactical Air Force
ATBM,antitactical ballistic missile
ATC,Air Threat Conference
ATC,air traffic control
ATC,air transportable clinic
ATCA,Allied Tactical Communications Agency 
ATCAA,air traffic control assigned airspace
ATCC,Antiterrorism Coordinating Committee
ATCC-SSG,Antiterrorism Coordinating Committee-Senior Steering Group 
ATCM,air traffic control measure 
ATCRBS ,Air Traffic Control Radar Beacon System
ATCS,air traffic control section
ATDLS ,Advanced Tactical Data Link System
ATDM,adaptive time division multiplexer 
ATDS,airborne tactical data system
ATEP,Antiterrorism Enterprise Portal
ATF,Advanced Targeting FLIR
ATF,amphibious task force
ATF,"Bureau of Alcohol, Tobacco, Firearms, and Explosives"
AT/FP,antiterrorism/force protection 
ATG,amphibious task group
ATG,assign trunk group cluster
ATGM,antitank guided missile
ATGM,antitank guided munition
ATH,air transportable hospital
ATH,assign thresholds
ATHS ,Airborne Target Handover System
ATI,asset target interaction 
ATM,advanced trauma management
ATM,air target material
ATM,assign traffic metering 
ATMCT,air terminal movement control team
ATMP,Air Target Materials Program
ATN,assign thresholds
AtN,attack the network 
ATO,air tasking order
ATO,antiterrorism officer
ATOC,air tactical operations center
ATOC,air terminal operations center
ATP,allied tactical publication
ATP,advanced targeting pod
ATP,Army tactical publication
ATP,Army technical publication
ATP,Army techniques publication
ATR,attrition reserve
ATS,air traffic service
ATS,assign terminal service 
ATSD(AE),Assistant to the Secretary of Defense (Atomic Energy)
ATSD(IO),Assistant to the Secretary of Defense (Intelligence Oversight)
ATSD(NCB),Assistant to the Secretary of Defense for Nuclear and Chemical and Biological Defense Programs 
ATSDR,Agency for Toxic Substances and Disease Registry  
ATT,assign terminal type
ATTP,"Army tactics, techniques, and procedures"
ATTU,air transportable treatment unit
ATWG,antiterrorism working group
AU,African Union
AUEL,automated unit equipment list
AUF,airborne use of force
AUG,application user group
AUIC,active duty unit identification code
AUSCANNZUKUS,"Australian, Canadian, New Zealand, United Kingdom, United States"
AUTODIN,Automatic Digital Network
AUX,auxiliary
AV,air vehicle
AV,asset visibility
AV-8,Harrier
AVC,"Bureau of Arms Control, Verification, and Compliance  "
AVCAL,aviation consolidated allowance list
AVDTG,analog via digital trunk group
AVGAS,aviation gasoline
AVIM,aviation intermediate maintenance
AVL,anti-vehicle land mine
AVL,assign variable location
AVOU,analog voice orderwire unit
AVOW,analog voice orderwire
AVS,asset validation system
AVS,asset visibility system 
AVS,audiovisual squadron
AVUM,aviation unit maintenance
AV/VI,audiovisual/visual information
AW,air warfare
AWACS,Airborne Warning and Control System
AWC,air warfare commander
AWCAP,airborne weapons corrective action program
AWDS,automated weather distribution system
AWG,Asymmetric Warfare Group
AWN,Automated Weather Network
AWNIS,Allied Worldwide Navigational Information System
AWOL,absent without leave
AWS,Air Weather Service
AWSE,armament weapons support equipment
AWSIM,air warfare simulation model
AWSR,Air Weather Service regulation
AXO,abandoned explosive ordnance
AXX,assign XXX routing
AZR,assign zone restriction lists 
B,cross-over barrier pattern
B-52,Stratofortress
B&A,boat and aircraft
BAE,brigade aviation element
BAF,backup alert force
BAH,basic allowance for housing
BAI,backup aircraft inventory
BAI,battlefield air interdiction
BALO,battalion air liaison officer
BALS,berthing and loading schedule
BAS,basic allowance for subsistence
BAS,battalion aid station
BATF,"Bureau of Alcohol, Tobacco, and Firearms"
B/B,baseband
BB,breakbulk
bbl,barrel (42 US gallons)
BC,bottom current
BCA,border crossing authority
BCAT,beddown capability assessment tool
BCC,battle control center
BCD,battlefield coordination detachment
BCG,beach control group
BCI,bit count integrity
BCL,battlefield coordination line
BCN,beacon
BCOC,base cluster operations center
BCR,baseline change request
BCT,brigade combat team
BCTP,battle command training program
BCU,beach clearance unit
BD,barge derrick
BDA,battle damage assessment
BDAREP,battle damage assessment report
BDC,blood donor center
BDE,brigade
BDL,beach discharge lighter
BDOC,base defense operations center
BDR,battle damage repair
BDRP,Biological Defense Research Program
BDZ,base defense zone
BE,basic encyclopedia
BEAR,base expeditionary airfield resourceS
BEE,bioenvironmental engineering officer
BEI,biometrics-enabled intelligence
BEN,base encyclopedia number 
BE number,basic encyclopedia number
BER,bit error ratio
BES,budget estimate submission
BEST,border enforcement security task force
BfV,Bundesamt für Verfassungsschutz (federal office for defending the Constitution) 
BGC,boat group commander
BHR,Bureau of Humanitarian Response
BI,battlefield injury
BI,battle injury
BIA,behavioral influences analysis
BIA,Bureau of Indian Affairs
BIAR,biometric intelligence analysis report
BIAS,Battlefield Illumination Assistance System
BICES,battlefield information collection and exploitation system    
BICON,double container
BIDDS,Base Information Digital Distribution System
BIDE,basic identity data element
BIFC,Boise Interagency Fire Center
BIFS,Border Intelligence Fusion Section
BIH,International Time Bureau (Bureau International d’l’Heure) 
BII,base information infrastructure
BIMA,Biometrics Identity Management Agency
BINM,Bureau of International Narcotics Matters
BIO,biological
BIO,Bureau of International Organizations
BIS,Bureau of Industry and Security
BISS,base installation security system
BIT,built-in test
BITE,built-in test equipment
BIU,beach interface unit
BKA,Bundeskriminalamt (federal criminal office)
BKB,blue kill box
BLCP,biocontainment level
CLDREP,beach lighterage control point
BLDREP,blood report
BLDSHIPREP,blood shipment report
BLM,Bureau of Land Management
BLOS,beyond line-of-sight
BLT,battalion landing team
BM,ballistic missile
BM,battle management
BM,beach module
BMC4I,"Battle Management Command, Control, Communications, Computers, and Intelligence"
BMCT,begin morning civil twilight
BMD,ballistic missile defense
BMDO,Ballistic Missile Defense Organization
BMDS,ballistic missile defense system 
BMET,biomedical electronics technician
BMNT,begin morning nautical twilight
